Date,Location,Max Temperature (C),Min Temperature (C),Precipitation (mm),Wind Speed (km/h),Humidity (%),Cloud Cover (%),CO2 Levels (ppm),Sea Level Rise (mm)
2023-01-01,Paris,6,1,3,22,88,75,410,2.5
2023-01-02,Paris,4,-2,5,18,92,80,415,3.0
2023-01-03,Paris,7,2,2,20,80,70,420,3.5
2023-01-04,Paris,5,0,1,24,85,78,425,4.0
2023-01-05,Paris,8,3,4,18,78,68,430,4.5
2023-01-06,Paris,10,4,6,15,72,65,435,5.0
2023-01-07,Paris,9,5,5,20,75,60,440,5.5
2023-01-08,Paris,7,2,3,22,78,58,445,6.0
2023-01-09,Paris,6,1,2,25,80,55,450,6.5
2023-01-10,Paris,8,3,4,20,75,50,455,7.0
2023-01-11,Paris,5,0,1,18,82,45,460,7.5
2023-01-12,Paris,3,-2,0,22,85,40,465,8.0
2023-01-13,Paris,7,2,3,20,78,38,470,8.5
2023-01-14,Paris,9,4,5,18,72,35,475,9.0
2023-01-15,Paris,8,3,4,24,75,30,480,9.5
2023-01-16,Paris,6,1,2,22,80,28,485,10.0
2023-01-17,Paris,4,-2,1,18,85,25,490,10.5
2023-01-18,Paris,7,2,3,20,78,22,495,11.0
2023-01-19,Paris,9,4,4,22,75,20,500,11.5
2023-01-20,Paris,10,5,5,18,72,18,505,12.0
2023-01-21,Paris,8,3,4,24,75,15,510,12.5
2023-01-22,Paris,6,1,2,22,80,12,515,13.0
2023-01-23,Paris,5,0,1,20,82,10,520,13.5
2023-01-24,Paris,8,3,3,24,75,8,525,14.0
2023-01-25,Paris,10,4,5,22,72,6,530,14.5
2023-01-26,Paris,12,6,6,20,70,5,535,15.0
2023-01-27,Paris,11,5,7,24,68,4,540,15.5
2023-01-28,Paris,9,4,4,22,72,3,545,16.0
2023-01-29,Paris,7,2,3,20,78,2,550,16.5
2023-01-30,Paris,6,1,2,24,82,1,555,17.0
2023-01-31,Paris,8,3,4,22,75,0,560,17.5
